  Nelder-Mead direct search function minimizer
function value for initial parameters = 186281.910279
  Scaled convergence tolerance is 0.00277582
Stepsize computed as 0.299573
LO-REDUCTION     431 65822.056884 65797.168889
LO-REDUCTION     433 65821.078970 65797.168889
LO-REDUCTION     435 65820.673792 65797.168889
LO-REDUCTION     437 65817.889479 65797.168889
LO-REDUCTION     439 65817.085879 65797.168889
LO-REDUCTION     441 65816.034188 65797.168889
LO-REDUCTION     443 65816.030465 65797.168889
LO-REDUCTION     445 65815.539601 65797.168889
LO-REDUCTION     447 65815.512820 65797.168889
LO-REDUCTION     449 65815.110578 65797.168889
LO-REDUCTION     451 65814.754807 65797.168889
LO-REDUCTION     453 65814.256278 65797.168889
LO-REDUCTION     455 65812.054847 65797.168889
EXTENSION        457 65811.220130 65792.479644
LO-REDUCTION     459 65810.218382 65792.479644
EXTENSION        461 65806.776397 65786.290537
LO-REDUCTION     463 65806.484617 65786.290537
LO-REDUCTION     465 65805.967969 65786.290537
LO-REDUCTION     467 65805.317829 65786.290537
LO-REDUCTION     469 65803.854631 65786.290537
LO-REDUCTION     471 65803.019880 65786.290537
EXTENSION        473 65802.880085 65778.192811
LO-REDUCTION     475 65801.197005 65778.192811
LO-REDUCTION     477 65799.746725 65778.192811
LO-REDUCTION     479 65799.737568 65778.192811
LO-REDUCTION     481 65798.829498 65778.192811
LO-REDUCTION     483 65797.334184 65778.192811
LO-REDUCTION     485 65797.168889 65778.192811
EXTENSION        487 65792.479644 65775.178348
LO-REDUCTION     489 65792.129942 65775.178348
LO-REDUCTION     491 65789.741499 65775.178348
EXTENSION        493 65788.998495 65774.225099
EXTENSION        495 65788.973816 65768.538799
LO-REDUCTION     497 65786.728098 65768.538799
LO-REDUCTION     499 65786.463726 65768.538799
LO-REDUCTION     501 65786.290537 65768.538799
EXTENSION        503 65785.862672 65763.918259
LO-REDUCTION     505 65782.667900 65763.918259
REFLECTION       507 65781.351349 65763.773943
EXTENSION        509 65780.456534 65760.676840
LO-REDUCTION     511 65779.525872 65760.676840
LO-REDUCTION     513 65778.192811 65760.676840
LO-REDUCTION     515 65776.100848 65760.676840
LO-REDUCTION     517 65775.645297 65760.676840
REFLECTION       519 65775.178348 65759.888163
LO-REDUCTION     521 65774.225099 65759.888163
EXTENSION        523 65773.902761 65753.442564
LO-REDUCTION     525 65771.868683 65753.442564
LO-REDUCTION     527 65768.688299 65753.442564
LO-REDUCTION     529 65768.538799 65753.442564
LO-REDUCTION     531 65766.878709 65753.442564
EXTENSION        533 65766.525301 65748.589766
LO-REDUCTION     535 65766.419269 65748.589766
LO-REDUCTION     537 65766.160155 65748.589766
LO-REDUCTION     539 65765.366698 65748.589766
LO-REDUCTION     541 65764.037895 65748.589766
LO-REDUCTION     543 65763.918259 65748.589766
LO-REDUCTION     545 65763.773943 65748.589766
LO-REDUCTION     547 65761.199507 65748.589766
EXTENSION        549 65760.676840 65744.752763
LO-REDUCTION     551 65759.888163 65744.752763
LO-REDUCTION     553 65759.577201 65744.752763
EXTENSION        555 65757.590250 65735.370421
LO-REDUCTION     557 65757.051343 65735.370421
LO-REDUCTION     559 65755.560431 65735.370421
LO-REDUCTION     561 65753.573558 65735.370421
LO-REDUCTION     563 65753.442564 65735.370421
LO-REDUCTION     565 65752.997229 65735.370421
LO-REDUCTION     567 65752.874774 65735.370421
LO-REDUCTION     569 65752.030957 65735.370421
EXTENSION        571 65750.668639 65727.938294
LO-REDUCTION     573 65749.702919 65727.938294
LO-REDUCTION     575 65748.589766 65727.938294
LO-REDUCTION     577 65748.024953 65727.938294
EXTENSION        579 65747.844233 65721.416762
LO-REDUCTION     581 65744.752763 65721.416762
LO-REDUCTION     583 65743.221095 65721.416762
LO-REDUCTION     585 65742.993855 65721.416762
LO-REDUCTION     587 65742.584831 65721.416762
LO-REDUCTION     589 65741.592517 65721.416762
LO-REDUCTION     591 65739.922330 65721.416762
EXTENSION        593 65738.318807 65718.054351
LO-REDUCTION     595 65735.375084 65718.054351
LO-REDUCTION     597 65735.370421 65718.054351
EXTENSION        599 65733.540753 65713.066737
LO-REDUCTION     601 65733.301421 65713.066737
LO-REDUCTION     603 65733.100672 65713.066737
EXTENSION        605 65733.060053 65709.537095
EXTENSION        607 65730.739336 65701.286452
LO-REDUCTION     609 65727.938294 65701.286452
LO-REDUCTION     611 65725.986586 65701.286452
LO-REDUCTION     613 65723.817016 65701.286452
LO-REDUCTION     615 65723.104963 65701.286452
